,流水號,授課對象,課號,班次,課程名稱查看課程大綱，請點選課程名稱,簡介影片,學分,課程識別碼,全/半年,必/選修,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程
123,97001,,PE2003,48,體適能(一),,1,002 50020,半年,必修,蔡秀華,2,"一3,4(綜館舞蹈室)",44,"專項運動學群 且 限女生,本校修課人數上限：44人",請自備乾淨球鞋。,,
124,97002,,PE2003,J9,體適能(一),,1,002 50020,半年,必修,王翊澤,2,"二6,7(綜館韻律室)",40,"專項運動學群,本校修課人數上限：40人",請自備乾淨球鞋。,,
125,97003,,PE2003,P2,體適能(一),,1,002 50020,半年,必修,王翊澤,2,"四6,7(綜館舞蹈室)",40,"專項運動學群,本校修課人數上限：40人",請自備乾淨球鞋。,,
126,97004,,PE2003,P3,體適能(一),,1,002 50020,半年,必修,王翊澤,2,"四8,9(綜館舞蹈室)",40,"專項運動學群,本校修課人數上限：40人",請自備乾淨球鞋。,,
127,97005,,PE1007,D5,適應體育(生理班),,1,002 50080,半年,必修,黃英哲,2,"五6,7(綜館柔道室)",15,"專項運動學群,本校修課人數上限：15人",需附醫師證明。請自備乾淨球鞋。,,
128,97006,,PE1005,41,適應體育(肢體班),,1,002 50090,半年,必修,林信甫,2,"二3,4(適應體育R)",10,"專項運動學群,本校修課人數上限：10人",需附醫師證明。請自備乾淨球鞋。,,
129,97007,,PE2025,H8,土風舞,,1,002 50260,半年,必修,魏豐閔,2,"一3,4(綜館韻律室)",44,"專項運動學群,本校修課人數上限：44人",請自備乾淨球鞋。,,
130,97008,,PE2025,H9,土風舞,,1,002 50260,半年,必修,魏豐閔,2,"一6,7(綜館韻律室)",44,"專項運動學群,本校修課人數上限：44人",請自備乾淨球鞋。,,
131,97009,,PE2030,J3,標準舞,,1,002 50310,半年,必修,王學富,2,"三6,7(綜館舞蹈室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
132,97010,,PE2030,J4,標準舞,,1,002 50310,半年,必修,王學富,2,"三8,9(綜館舞蹈室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
133,97011,,PE2034,23,太極劍,,1,002 50370,半年,必修,游添燈,2,"三1,2(綜館技擊AB)",50,"專項運動學群,本校修課人數上限：50人",請自備乾淨球鞋。,,
134,97012,,PE2036,19,太極拳初級,,1,002 50390,半年,必修,游添燈,2,"一1,2(綜館技擊AB)",50,"專項運動學群,本校修課人數上限：50人",請自備乾淨球鞋。,,
135,97013,,PE2036,20,太極拳初級,,1,002 50390,半年,必修,游添燈,2,"一3,4(綜館技擊AB)",50,"專項運動學群,本校修課人數上限：50人",請自備乾淨球鞋。,,
136,97014,,PE2036,21,太極拳初級,,1,002 50390,半年,必修,游添燈,2,"二1,2(綜館技擊AB)",50,"專項運動學群,本校修課人數上限：50人",請自備乾淨球鞋。,,
137,97015,,PE2036,F9,太極拳初級,,1,002 50390,半年,必修,施登堯,2,"三3,4(綜館技擊AB)",50,"專項運動學群,本校修課人數上限：50人",請自備乾淨球鞋。,,
138,97016,,PE2037,22,太極拳中級,,1,002 50400,半年,必修,游添燈,2,"二3,4(綜館技擊AB)",50,"專項運動學群,本校修課人數上限：50人",請自備乾淨球鞋。,,
139,97017,,PE2041,16,柔道初級,,1,002 50440,半年,必修,黃國恩,2,"二1,2(綜館柔道室)",40,"專項運動學群,本校修課人數上限：40人",請自備乾淨球鞋。,,
140,97018,,PE2041,17,柔道初級,,1,002 50440,半年,必修,黃國恩,2,"三1,2(綜館柔道室)",40,"專項運動學群,本校修課人數上限：40人",請自備乾淨球鞋。,,
141,97019,,PE2041,18,柔道初級,,1,002 50440,半年,必修,黃國恩,2,"三3,4(綜館柔道室)",40,"專項運動學群,本校修課人數上限：40人",請自備乾淨球鞋。,,
142,97020,,PE2041,96,柔道初級,,1,002 50440,半年,必修,蘇玫尹,2,"二6,7(綜館柔道室)",35,"專項運動學群,本校修課人數上限：35人",請自備乾淨球鞋。,,
143,97021,,PE2041,97,柔道初級,,1,002 50440,半年,必修,蘇玫尹,2,"二8,9(綜館柔道室)",35,"專項運動學群,本校修課人數上限：35人",請自備乾淨球鞋。,,
144,97022,,PE5002,10,手球中級,,1,002 50570,半年,必修,黃欽永,2,"一8,9(舊館羽球場)",48,"專項運動學群,本校修課人數上限：48人",歡迎從未接觸手球的同學選修。,,
145,97023,,PE5002,C1,手球中級,,1,002 50570,半年,必修,許君恆,2,"二8,9(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",歡迎從未接觸手球的同學選修。,,
146,97024,,PE2050,C3,手球初級,,1,002 50580,半年,必修,許君恆,2,"三6,7(人工草皮球場)",32,"專項運動學群,本校修課人數上限：32人",,,
147,97025,,PE2050,C4,手球初級,,1,002 50580,半年,必修,許君恆,2,"四3,4(人工草皮球場)",32,"專項運動學群,本校修課人數上限：32人",,,
148,97175,,PE2051,N3,女手球校隊,,1,002 50590,半年,選修,許君恆,2,"一A,B,C,D(請洽系所辦) 三A,B,C,D(請洽系所辦)",40,"限女生,本校修課人數上限：40人",限校隊學生。上課地點：(一)體育館羽球場；(三)綜館多功能。,,
149,97176,,PE2052,K4,男手球校隊,,1,002 50600,半年,選修,黃欽永,2,"一A,B,C,D(舊館羽球場)三A,B,C,D(綜館多功能)",40,"限男生,本校修課人數上限：40人",限校隊學生。,,
150,97026,,PE2053,68,游泳初級,,1,002 50630,半年,必修,胡林煥,2,"一1,2(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
151,97027,,PE2053,69,游泳初級,,1,002 50630,半年,必修,胡林煥,2,"一3,4(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
152,97028,,PE2053,A8,游泳初級,,1,002 50630,半年,必修,林謙如,2,"三6,7(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
153,97029,,PE2053,B3,游泳初級,,1,002 50630,半年,必修,吳明翰,2,"二1,2(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
154,97030,,PE2053,B4,游泳初級,,1,002 50630,半年,必修,吳明翰,2,"二3,4(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
155,97031,,PE2053,B9,游泳初級,,1,002 50630,半年,必修,許君恆,2,"二6,7(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
156,97032,,PE2053,C2,游泳初級,,1,002 50630,半年,必修,許君恆,2,"三3,4(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
157,97033,,PE2053,C5,游泳初級,,1,002 50630,半年,必修,許君恆,2,"五3,4(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
158,97034,,PE2053,D1,游泳初級,,1,002 50630,半年,必修,陳逸杰,2,"四1,2(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
159,97035,,PE2053,D2,游泳初級,,1,002 50630,半年,必修,陳逸杰,2,"四3,4(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
160,97036,,PE2053,G1,游泳初級,,1,002 50630,半年,必修,詹俊成,2,"四6,7(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
161,97037,,PE2053,G2,游泳初級,,1,002 50630,半年,必修,詹俊成,2,"四8,9(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
162,97038,,PE2054,A7,游泳中級,,1,002 50640,半年,必修,林謙如,2,"二8,9(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",須具備初級游泳能力(蛙式、自由式50m以上的距離)。,,
163,97039,,PE2054,A9,游泳中級,,1,002 50640,半年,必修,林謙如,2,"三8,9(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",須具備中級基本能力(蝶式25m及蛙式、仰式、自由式50m以上距離)。,,
164,97040,,PE2054,B2,游泳中級,,1,002 50640,半年,必修,林謙如,2,"五6,7(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",須具備初級游泳能力(蛙式、自由式50m以上的距離)。,,
165,97041,,PE2055,D6,水球,,1,002 50650,半年,必修,黃英哲,2,"五8,9(綜館游泳池)",40,"專項運動學群,本校修課人數上限：40人",,,
166,97177,,PE2058,N1,女游泳校隊,,1,002 50680,半年,選修,林謙如,2,"二10,A(戶外游泳池)四10,A(戶外游泳池)六10,A(戶外游泳池)",40,"限女生,本校修課人數上限：40人",限校隊學生。,,
167,97178,,PE2059,M9,男游泳校隊,,1,002 50690,半年,選修,林謙如,2,"一10,A(戶外游泳池)三10,A(戶外游泳池)五10,A(戶外游泳池)",40,"限男生,本校修課人數上限：40人",限校隊學生。,,
